,Rage
59,0
61,0
63,0
64,0
98,0
102,0
449,0
136,0
137,0
140,0
143,0
144,0
151,0
863,0
174,0
175,0
198,0
200,0
201,0
237,0
238,0
294,0
296,0
299,0
302,0
309,0
334,0
339,0
349,0
357,0
372,0
373,0
387,0
388,0
401,0
460,0
484,0
485,0
487,0
488,0
537,0
545,0
556,0
579,0
580,0
581,0
582,0
584,0
609,0
620,0
669,0
687,0
688,0
690,0
691,0
721,0
723,0
728,0
749,0
754,0
759,0
767,0
801,0
817,0
872,0
910,0
914,0
915,0
917,0
932,0
940,0
963,0
969,0
993,0
1005,0
1008,0
1024,0
1043,0
1064,0
1076,0
1079,0
1080,0
1084,0
1146,0
1148,0
1186,0
1187,0
1189,0
1194,0
1209,0
1221,0
1505,0
1253,0
1255,0
1256,0
1257,0
1258,0
1296,0
1301,0
1341,0
1351,0
1352,0
1353,0
1355,0
1403,0
1423,0
1428,0
1437,0
1450,0
1467,0
1470,0
1475,0
1476,0
1508,0
1512,0
1518,0
1520,0
1540,0
1543,0
1546,0
1684,0
1696,1
1697,1
1715,1
1716,1
1730,1
1736,1
1754,1
1755,1
1757,1
1758,1
1795,1
1797,1
2069,1
1834,1
1844,1
1859,0
1861,1
1862,1
1868,1
1870,1
1909,1
1916,0
1918,1
1924,0
1930,1
1961,1
1967,1
2005,1
2007,1
2009,1
2011,0
2012,0
2053,1
2054,0
2076,0
2099,1
2114,1
2115,0
2122,1
2123,1
2150,1
2163,1
2179,1
2181,0
2182,1
2192,1
2205,1
2211,1
2214,1
2271,1
2281,1
2285,1
2286,0
2294,1
2340,1
2343,0
2349,1
2392,1
2393,0
2396,1
2397,1
2405,1
2411,1
2444,1
2459,0
2461,0
2462,0
2473,1
2520,0
2525,0
2536,1
2537,1
2557,1
2566,1
2572,1
2601,0
2604,0
2629,1
2683,1
2684,1
2686,1
2687,1
2699,1
2703,1
2716,0
2757,0
2759,1
2764,1
2766,1
2769,0
2785,1
2825,1
2834,1
2850,1
2851,1
2856,1
2874,1
2875,1
2915,1
2919,1
2921,1
2931,1
2937,0
2961,0
2975,1
3012,1
3024,0
3025,1
3032,1
3033,1
3034,0
3035,0
3122,1
3125,1
3140,1
3145,1
3167,1
3168,1
3169,1
3342,0
3354,0
3355,0
3356,0
3357,0
3362,0
3365,0
3370,0
3381,0
3382,0
3386,0
3390,0
3401,0
3402,0
3438,0
3439,0
3440,0
3441,0
3442,0
3443,0
3478,0
3498,0
3509,0
3510,0
3511,0
3512,0
3547,0
3549,0
3580,0
3597,0
3599,0
3600,0
3632,0
3634,0
3635,0
3708,0
3709,0
3710,0
3711,0
3712,0
3734,0
3735,0
3765,0
3793,0
3797,0
3807,0
3808,0
3812,0
3814,0
3849,0
3862,0
3864,0
3866,0
3867,0
3868,0
3871,0
3915,0
3916,0
3922,0
3923,0
3930,0
3937,0
3970,0
3983,0
3984,0
3985,0
3986,0
3988,0
4046,0
4053,0
4084,0
4085,0
4086,0
4087,0
4088,0
4115,0
4125,0
4145,0
4150,0
4151,0
4152,0
4167,0
4219,0
4222,0
4291,0
4292,0
4294,0
4299,0
4305,0
4331,0
4340,0
4348,0
4377,0
4378,0
4379,0
4380,0
4414,0
4427,0
4476,0
4477,0
4478,0
4479,0
4480,0
4486,0
4498,0
4515,0
4525,0
4540,1
4541,1
4542,0
4595,1
4596,1
4611,1
4655,1
4656,0
4657,1
4659,0
4677,1
4684,1
4705,1
4710,1
4716,0
4748,0
4749,1
4760,1
4761,1
4831,1
4832,1
4834,1
4837,1
5206,0
5217,1
5221,1
4878,0
4881,0
4885,0
4886,0
4891,1
4896,0
4898,1
4907,1
4909,0
4912,0
4913,1
4914,0
4915,1
4917,1
4980,1
5013,1
5017,0
5018,0
5032,0
5033,1
5140,0
5069,0
5076,1
5079,0
5083,0
5096,1
5108,1
5474,0
5130,1
5164,1
5175,1
5185,0
5213,1
5475,1
5653,1
5250,1
5251,1
5253,1
5263,1
5291,1
5292,1
5297,1
5341,1
5354,1
5355,1
5568,1
5582,1
5631,1
5632,0
5394,0
5395,1
5396,0
5397,1
5399,1
5449,0
5450,1
5480,0
5514,1
5516,1
5520,1
5554,1
5556,1
5557,1
5712,1
5713,1
5715,0
5716,1
5719,0
5736,0
5742,1
5812,1
5813,1
5819,1
5820,1
5823,1
5824,1
5828,0
6566,0
6568,0
6569,0
6570,0
6571,0
6572,0
6574,0
6575,0
6582,0
6585,0
6587,0
6599,0
6600,0
6604,0
6613,0
6614,0
6639,0
6640,0
6641,0
6642,0
6643,0
6644,0
6674,0
6675,0
6686,0
6690,0
6712,0
6713,0
6714,0
6734,0
6735,0
6740,0
6769,0
6771,0
6772,0
6773,0
6774,0
6805,0
6807,0
6816,0
6853,0
6884,0
6885,0
6887,0
6894,0
6901,0
6929,0
6931,0
6945,0
6947,0
6948,0
6951,0
6954,0
6991,0
6992,0
6993,0
7033,0
7053,0
7057,0
7058,0
7059,0
7060,0
7061,0
7062,0
7103,0
7104,0
7107,0
7109,0
7116,0
7119,0
7123,0
7139,0
7162,0
7169,0
7175,0
7178,0
7179,0
7195,0
7234,0
7235,0
7255,0
7269,0
7270,0
7271,0
7285,0
7298,0
7318,0
7322,0
7338,0
7368,0
7369,0
7370,0
7384,0
7418,0
7420,0
7423,0
7438,0
7454,0
7455,0
7457,0
7458,0
7459,0
7501,0
7502,0
7533,0
7549,0
7550,0
7551,0
7552,0
7553,0
7607,0
7617,0
7656,0
7663,0
7675,0
7679,0
7680,0
7700,0
7704,0
8310,0
7742,1
7743,1
7744,1
7745,1
7751,0
7752,1
7790,1
7795,1
7823,0
7828,0
7829,1
7830,0
7832,1
7879,0
7880,1
8308,1
7916,1
7924,1
7929,1
7971,1
7976,1
7980,0
8650,1
9101,1
7989,0
8015,1
8017,0
8020,0
8028,1
8029,1
8034,0
8035,0
8064,1
8083,1
8095,1
8096,1
8108,1
8470,1
8652,1
8737,1
8134,1
8135,1
8141,1
8464,0
8466,1
8469,1
8471,1
8651,1
8156,0
8157,0
8158,1
8159,1
8167,1
8168,1
8756,1
8803,1
8319,1
8322,0
8323,0
8326,1
8327,1
8328,1
8365,1
8366,1
8400,1
8416,1
8425,1
8426,0
8428,0
8431,0
8445,1
8452,1
8489,1
8514,1
8521,1
8522,0
8527,0
8543,1
8553,1
8561,0
8567,1
8573,1
8574,0
8575,1
8576,1
8577,0
8611,1
8621,1
8660,1
8665,1
8666,1
8667,1
8668,1
8671,1
8697,1
8700,1
8841,0
8858,1
8859,1
8860,1
8861,1
8877,1
8912,1
8916,1
8947,1
8948,1
8949,1
8950,0
8951,1
8953,1
8954,1
8964,0
9044,1
9067,0
9068,0
9070,1
9071,0
9072,1
9090,1
9091,0
9831,0
9839,0
9842,0
9843,0
9844,0
9845,0
9846,0
9849,0
9859,0
9863,0
9864,0
9865,0
9866,0
9900,0
9903,0
9907,0
9913,0
9914,0
9915,0
9916,0
9917,0
9918,0
9961,0
9974,0
9986,0
10008,0
10009,0
10015,0
10023,0
10024,0
10028,0
10031,0
10062,0
10063,0
10064,0
10066,0
10079,0
10081,0
10122,0
10123,0
10140,0
10181,0
10183,0
10186,0
10189,0
10191,0
10210,0
10211,0
10242,0
10243,0
10244,0
10246,0
10263,0
10309,0
10314,0
10315,0
10381,0
10383,0
10384,0
10385,0
10386,0
10387,0
10431,0
10432,0
10470,0
10471,0
10472,0
10473,0
10488,0
10520,0
10523,0
10530,0
10561,0
10565,0
10584,0
10589,0
10590,0
10592,0
10594,0
10617,0
10656,0
10657,0
10659,0
10660,0
10661,0
10705,0
10708,0
10710,0
10750,0
10756,0
10762,0
10779,0
10782,0
10783,0
10798,0
10799,0
10835,0
10859,0
10860,0
10861,0
10862,0
10863,0
10891,0
10896,0
10923,0
10955,0
10956,0
10957,0
10958,0
10959,0
10982,0
11001,0
11011,0
11016,0
11017,0
11023,0
11024,0
11025,0
11054,0
11067,0
11102,1
11129,1
11130,1
11131,1
11135,1
11146,1
11170,1
11172,1
11185,1
11207,1
11208,1
11209,1
11210,1
11211,1
11212,1
11240,1
11294,1
11298,1
11299,1
11300,1
11338,0
11340,0
11345,1
11354,1
11393,1
11396,1
11397,0
11398,0
11399,1
11400,0
11406,1
11407,1
11485,0
11486,1
11487,1
11489,1
11490,1
11497,0
11525,1
11526,1
