,pos_home,pos_away
59,0,13
61,3,6
63,11,2
64,4,8
98,5,9
102,1,15
449,7,10
136,1,0
137,5,4
140,6,9
143,7,12
144,2,15
151,8,11
863,3,10
174,2,15
175,13,3
198,8,11
200,1,6
201,4,14
237,0,9
238,12,5
294,4,8
296,12,0
299,14,1
302,9,13
309,6,3
334,5,11
339,7,2
349,0,9
357,1,5
372,15,10
373,6,14
387,3,12
388,8,13
401,2,7
460,2,0
484,4,5
485,10,15
487,9,3
488,11,7
537,8,1
545,12,6
556,0,9
579,1,14
580,10,8
581,7,11
582,4,12
584,3,13
609,5,6
620,15,2
669,13,7
687,8,15
688,14,2
690,9,5
691,4,12
721,11,0
723,1,6
728,6,8
749,12,13
754,7,9
759,15,11
767,0,14
801,5,1
817,3,4
872,5,6
910,9,12
914,15,14
915,1,8
917,10,7
932,13,0
940,11,2
963,4,11
969,9,15
993,2,8
1005,12,10
1008,0,7
1024,6,1
1043,13,3
1064,2,7
1076,6,14
1079,15,12
1080,9,8
1084,11,13
1146,5,3
1148,1,0
1186,12,1
1187,2,10
1189,0,3
1194,13,5
1209,4,15
1221,8,6
1505,7,11
1253,2,12
1255,8,6
1256,7,15
1257,11,10
1258,4,5
1296,14,3
1301,0,13
1341,3,8
1351,13,9
1352,15,2
1353,11,14
1355,4,10
1403,7,6
1423,5,0
1428,12,14
1437,9,8
1450,5,2
1467,4,11
1470,7,10
1475,15,0
1476,1,3
1508,0,5
1512,13,7
1518,8,3
1520,6,12
1540,1,15
1543,2,10
1546,9,4
1684,0,1
1696,7,15
1697,2,12
1715,5,9
1716,14,8
1730,11,4
1736,13,6
1754,5,15
1755,14,11
1757,12,10
1758,1,6
1795,4,2
1797,8,3
2069,9,0
1834,11,5
1844,1,15
1859,8,12
1861,6,0
1862,14,2
1868,7,3
1870,13,9
1909,8,1
1916,4,6
1918,7,10
1924,0,15
1930,14,11
1961,3,9
1967,2,12
2005,11,2
2007,10,4
2009,14,9
2011,12,6
2012,7,15
2053,13,0
2054,5,3
2076,3,10
2099,14,15
2114,2,6
2115,8,12
2122,7,11
2123,0,1
2150,4,5
2163,13,3
2179,10,0
2181,4,14
2182,8,5
2192,11,9
2205,12,15
2211,1,2
2214,7,6
2271,15,1
2281,9,6
2285,0,8
2286,13,10
2294,14,11
2340,3,2
2343,5,12
2349,12,0
2392,11,9
2393,8,14
2396,6,13
2397,10,15
2405,1,5
2411,2,4
2444,10,2
2459,0,11
2461,5,8
2462,14,12
2473,15,4
2520,3,9
2525,13,1
2536,7,5
2537,12,10
2557,2,13
2566,9,6
2572,8,15
2601,1,11
2604,4,0
2629,14,8
2683,12,6
2684,1,4
2686,15,11
2687,13,9
2699,3,5
2703,0,2
2716,8,3
2757,4,12
2759,11,6
2764,9,1
2766,5,10
2769,2,15
2785,7,0
2825,10,2
2834,15,5
2850,4,9
2851,1,13
2856,11,6
2874,14,3
2875,7,8
2915,4,3
2919,2,7
2921,5,14
2931,9,12
2937,11,13
2961,6,1
2975,8,10
3012,10,13
3024,7,6
3025,11,8
3032,12,2
3033,9,5
3034,0,14
3035,1,4
3122,11,4
3125,7,10
3140,3,9
3145,14,6
3167,8,0
3168,2,1
3169,5,15
3342,4,9
3354,5,8
3355,10,1
3356,0,13
3357,6,7
3362,11,3
3365,12,2
3370,5,4
3381,0,14
3382,6,13
3386,12,9
3390,7,11
3401,1,8
3402,2,3
3438,12,4
3439,2,3
3440,10,5
3441,13,7
3442,9,1
3443,0,14
3478,6,8
3498,5,6
3509,10,2
3510,1,11
3511,8,0
3512,3,12
3547,4,9
3549,14,7
3580,14,7
3597,9,3
3599,4,1
3600,12,5
3632,13,2
3634,0,6
3635,8,10
3708,2,13
3709,7,11
3710,10,6
3711,0,1
3712,4,5
3734,9,12
3735,3,8
3765,9,6
3793,11,7
3797,5,13
3807,12,4
3808,8,0
3812,14,2
3814,1,3
3849,0,8
3862,5,13
3864,1,10
3866,3,11
3867,6,9
3868,14,12
3871,7,2
3915,9,5
3916,8,14
3922,12,7
3923,10,0
3930,13,2
3937,1,6
3970,11,4
3983,5,13
3984,14,11
3985,7,10
3986,4,8
3988,2,12
4046,0,9
4053,1,3
4084,11,2
4085,8,14
4086,13,12
4087,6,5
4088,3,9
4115,10,1
4125,0,7
4145,13,8
4150,4,5
4151,10,11
4152,2,6
4167,12,9
4219,3,1
4222,14,0
4291,0,6
4292,1,13
4294,5,10
4299,11,14
4305,9,3
4331,7,4
4340,8,12
4348,10,5
4377,11,12
4378,13,6
4379,14,7
4380,4,8
4414,2,1
4427,9,0
4476,1,3
4477,0,14
4478,8,11
4479,4,2
4480,10,13
4486,7,5
4498,6,9
4515,0,8
4525,1,12
4540,2,14
4541,9,6
4542,3,11
4595,5,13
4596,7,4
4611,8,2
4655,4,3
4656,10,9
4657,11,7
4659,5,6
4677,13,1
4684,12,0
4705,9,0
4710,1,7
4716,6,13
4748,8,4
4749,3,11
4760,5,12
4761,2,10
4831,10,6
4832,5,9
4834,13,8
4837,14,2
5206,7,3
5217,0,1
5221,11,4
4878,10,13
4881,1,12
4885,4,14
4886,6,8
4891,3,11
4896,5,9
4898,2,0
4907,12,4
4909,10,6
4912,0,5
4913,8,1
4914,7,11
4915,14,2
4917,13,3
4980,2,8
5013,14,6
5017,4,13
5018,12,9
5032,3,10
5033,5,0
5140,1,11
5069,14,13
5076,8,6
5079,11,2
5083,3,7
5096,9,1
5108,5,4
5474,10,12
5130,6,0
5164,5,10
5175,2,3
5185,4,8
5213,7,11
5475,13,9
5653,12,14
5250,11,7
5251,0,5
5253,10,13
5263,14,8
5291,9,4
5292,3,1
5297,6,12
5341,13,5
5354,3,11
5355,2,1
5568,9,14
5582,12,0
5631,8,4
5632,6,10
5394,9,14
5395,3,10
5396,2,6
5397,4,13
5399,11,12
5449,0,7
5450,1,5
5480,9,2
5514,7,3
5516,8,10
5520,13,11
5554,5,1
5556,12,4
5557,14,0
5712,11,8
5713,3,13
5715,2,12
5716,5,6
5719,1,14
5736,0,10
5742,4,9
5812,10,3
5813,6,2
5819,8,4
5820,13,0
5823,7,5
5824,14,11
5828,9,1
6566,6,9
6568,0,11
6569,1,12
6570,2,13
6571,10,5
6572,3,14
6574,7,8
6575,4,15
6582,14,2
6585,7,5
6587,11,3
6599,15,6
6600,10,4
6604,12,0
6613,8,1
6614,13,9
6639,7,12
6640,0,14
6641,2,8
6642,4,15
6643,5,10
6644,3,13
6674,6,9
6675,1,11
6686,5,6
6690,13,7
6712,14,2
6713,11,3
6714,9,8
6734,12,4
6735,10,0
6740,15,1
6769,3,9
6771,5,4
6772,11,15
6773,1,6
6774,7,12
6805,10,8
6807,0,14
6816,2,13
6853,6,1
6884,14,4
6885,5,9
6887,13,12
6894,8,15
6901,2,3
6929,10,11
6931,7,0
6945,2,5
6947,15,9
6948,0,12
6951,7,10
6954,8,14
6991,13,6
6992,3,11
6993,1,4
7033,12,0
7053,14,1
7057,2,8
7058,5,7
7059,10,3
7060,9,11
7061,6,15
7062,4,13
7103,14,13
7104,15,8
7107,0,11
7109,9,3
7116,2,12
7119,6,5
7123,10,7
7139,1,4
7162,4,0
7169,5,15
7175,8,11
7178,10,13
7179,12,9
