,team_api_id,team_long_name,team_short_name,team_fifa_api_id,id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass
0,9987,KRC Genk,GEN,673,485,2010-02-22,45,Balanced,52.0,Little,45,Mixed,Organised,50,Normal,35,Normal,60,Normal,Organised,70,High,65,Press,70,Wide,Cover
1,9987,KRC Genk,GEN,673,486,2011-02-22,66,Balanced,52.0,Little,52,Mixed,Organised,65,Normal,66,Normal,51,Normal,Organised,48,Medium,47,Press,54,Normal,Offside Trap
2,9987,KRC Genk,GEN,673,487,2012-02-22,53,Balanced,52.0,Little,55,Mixed,Organised,55,Normal,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover
3,9987,KRC Genk,GEN,673,488,2013-09-20,58,Balanced,52.0,Little,38,Mixed,Organised,67,Risky,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover
4,9987,KRC Genk,GEN,673,489,2014-09-19,58,Balanced,52.0,Normal,38,Mixed,Organised,67,Risky,48,Normal,56,Normal,Organised,47,Medium,45,Press,55,Normal,Cover
5,9987,KRC Genk,GEN,673,490,2015-09-10,58,Balanced,52.0,Normal,38,Mixed,Organised,30,Safe,69,Lots,56,Normal,Organised,36,Medium,57,Press,70,Wide,Cover
6,9993,Beerschot AC,BAC,675,149,2010-02-22,35,Balanced,48.0,Little,35,Mixed,Organised,45,Normal,40,Normal,50,Normal,Organised,70,High,70,Double,70,Wide,Cover
7,9993,Beerschot AC,BAC,675,150,2011-02-22,47,Balanced,48.0,Little,37,Mixed,Organised,54,Normal,64,Normal,67,Lots,Organised,33,Deep,34,Press,48,Normal,Offside Trap
8,9993,Beerschot AC,BAC,675,151,2012-02-22,55,Balanced,48.0,Little,55,Mixed,Organised,47,Normal,46,Normal,49,Normal,Organised,45,Medium,46,Press,50,Normal,Cover
9,9993,Beerschot AC,BAC,675,152,2013-09-20,47,Balanced,48.0,Little,39,Mixed,Organised,38,Normal,64,Normal,49,Normal,Organised,45,Medium,46,Press,67,Wide,Cover
10,10000,SV Zulte-Waregem,ZUL,15005,1453,2010-02-22,65,Balanced,42.0,Little,60,Mixed,Organised,60,Normal,40,Normal,50,Normal,Organised,70,High,60,Press,70,Wide,Cover
11,10000,SV Zulte-Waregem,ZUL,15005,1454,2011-02-22,52,Balanced,42.0,Little,52,Mixed,Organised,52,Normal,48,Normal,53,Normal,Organised,46,Medium,48,Press,53,Normal,Cover
12,10000,SV Zulte-Waregem,ZUL,15005,1455,2012-02-22,54,Balanced,42.0,Little,51,Mixed,Organised,47,Normal,52,Normal,50,Normal,Organised,44,Medium,55,Press,53,Normal,Cover
13,10000,SV Zulte-Waregem,ZUL,15005,1456,2013-09-20,54,Balanced,42.0,Little,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover
14,10000,SV Zulte-Waregem,ZUL,15005,1457,2014-09-19,54,Balanced,42.0,Normal,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover
15,10000,SV Zulte-Waregem,ZUL,15005,1458,2015-09-10,54,Balanced,42.0,Normal,51,Mixed,Organised,47,Normal,52,Normal,32,Little,Organised,44,Medium,58,Press,37,Normal,Cover
16,9994,Sporting Lokeren,LOK,2007,759,2010-02-22,60,Balanced,45.0,Little,60,Mixed,Organised,50,Normal,40,Normal,50,Normal,Organised,65,Medium,65,Press,70,Wide,Cover
17,9994,Sporting Lokeren,LOK,2007,760,2011-02-22,66,Balanced,45.0,Little,53,Mixed,Organised,48,Normal,46,Normal,52,Normal,Organised,48,Medium,58,Press,55,Normal,Cover
18,9994,Sporting Lokeren,LOK,2007,761,2012-02-22,67,Fast,45.0,Little,52,Mixed,Organised,51,Normal,50,Normal,50,Normal,Organised,45,Medium,52,Press,52,Normal,Cover
19,9994,Sporting Lokeren,LOK,2007,762,2013-09-20,67,Fast,45.0,Little,52,Mixed,Organised,31,Safe,50,Normal,50,Normal,Organised,45,Medium,52,Press,52,Normal,Cover
20,9994,Sporting Lokeren,LOK,2007,763,2014-09-19,62,Balanced,45.0,Normal,52,Mixed,Organised,42,Normal,50,Normal,62,Normal,Organised,45,Medium,52,Press,52,Normal,Cover
21,9994,Sporting Lokeren,LOK,2007,764,2015-09-10,62,Balanced,45.0,Normal,52,Mixed,Organised,42,Normal,50,Normal,62,Normal,Organised,45,Medium,52,Press,52,Normal,Cover
22,9984,KSV Cercle Brugge,CEB,1750,295,2010-02-22,45,Balanced,49.0,Little,35,Mixed,Organised,70,Risky,45,Normal,55,Normal,Organised,65,Medium,60,Press,70,Wide,Cover
23,9984,KSV Cercle Brugge,CEB,1750,296,2011-02-22,50,Balanced,49.0,Little,50,Mixed,Free Form,70,Risky,65,Normal,65,Normal,Organised,60,Medium,50,Press,70,Wide,Cover
24,9984,KSV Cercle Brugge,CEB,1750,297,2012-02-22,68,Fast,49.0,Little,54,Mixed,Organised,55,Normal,68,Lots,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover
25,9984,KSV Cercle Brugge,CEB,1750,298,2013-09-20,53,Balanced,49.0,Little,40,Mixed,Organised,55,Normal,68,Lots,42,Normal,Free Form,59,Medium,47,Press,62,Normal,Cover
26,9984,KSV Cercle Brugge,CEB,1750,299,2014-09-19,53,Balanced,49.0,Normal,43,Mixed,Organised,52,Normal,58,Normal,42,Normal,Organised,59,Medium,47,Press,62,Normal,Cover
