index,team_api_id,team_long_name,team_short_name,team_fifa_api_id
0,9987,KRC Genk,GEN,673
1,9993,Beerschot AC,BAC,675
2,10000,SV Zulte-Waregem,ZUL,15005
3,9994,Sporting Lokeren,LOK,2007
4,9984,KSV Cercle Brugge,CEB,1750
5,8635,RSC Anderlecht,AND,229
6,9991,KAA Gent,GEN,674
7,9998,RAEC Mons,MON,1747
8,7947,FCV Dender EH,DEN,112519
9,9985,Standard de Liège,STL,232
10,8203,KV Mechelen,MEC,110724
11,8342,Club Brugge KV,CLB,231
12,9999,KSV Roeselare,ROS,546
13,8571,KV Kortrijk,KOR,100081
14,4049,Tubize,TUB,112522
15,9996,Royal Excel Mouscron,MOU,111560
16,10001,KVC Westerlo,WES,681
17,9986,Sporting Charleroi,CHA,670
18,9997,Sint-Truidense VV,STT,680
19,9989,Lierse SK,LIE,239
20,6351,KAS Eupen,EUP,2013
21,1773,Oud-Heverlee Leuven,O-H,100087
22,8475,Waasland-Beveren,WAA,110913
23,8573,KV Oostende,OOS,682
24,274581,Royal Excel Mouscron,MOP,111560
25,10260,Manchester United,MUN,11
26,10261,Newcastle United,NEW,13
27,9825,Arsenal,ARS,1
28,8659,West Bromwich Albion,WBA,109
29,8472,Sunderland,SUN,106
30,8650,Liverpool,LIV,9
31,8654,West Ham United,WHU,19
32,8528,Wigan Athletic,WIG,1917
33,10252,Aston Villa,AVL,2
34,8456,Manchester City,MCI,10
35,8668,Everton,EVE,7
36,8655,Blackburn Rovers,BLB,3
37,8549,Middlesbrough,MID,12
38,8586,Tottenham Hotspur,TOT,18
39,8559,Bolton Wanderers,BOL,4
40,10194,Stoke City,STK,1806
41,8667,Hull City,HUL,1952
42,9879,Fulham,FUL,144
43,8455,Chelsea,CHE,5
44,8462,Portsmouth,POR,1790
45,8658,Birmingham City,BIR,88
46,8602,Wolverhampton Wanderers,WOL,110
47,8191,Burnley,BUR,1796
48,8483,Blackpool,BLA,1926
49,10003,Swansea City,SWA,1960
50,10172,Queens Park Rangers,QPR,15
51,9850,Norwich City,NOR,1792
52,8466,Southampton,SOU,17
53,9798,Reading,REA,1793
54,9826,Crystal Palace,CRY,1799
55,8344,Cardiff City,CAR,1961
56,8197,Leicester City,LEI,95
57,8678,Bournemouth,BOU,1943
58,9817,Watford,WAT,1795
59,8583,AJ Auxerre,AUX,57
60,9830,FC Nantes,NAN,71
61,9827,Girondins de Bordeaux,BOR,59
62,7819,SM Caen,CAE,210
63,9746,Le Havre AC,LEH,1738
64,9831,OGC Nice,NIC,72
65,8682,Le Mans FC,LEM,1739
66,8689,FC Lorient,LOR,217
67,9748,Olympique Lyonnais,LYO,66
68,9941,Toulouse FC,TOU,1809
69,9829,AS Monaco,MON,69
70,9847,Paris Saint-Germain,PSG,73
71,8481,AS Nancy-Lorraine,NAN,1823
72,8639,LOSC Lille,LIL,65
73,9851,Stade Rennais FC,REN,74
74,8592,Olympique de Marseille,MAR,219
75,9874,FC Sochaux-Montbéliard,SOC,226
76,9855,Grenoble Foot 38,GRE,1805
77,9873,Valenciennes FC,VAL,110456
78,9853,AS Saint-Étienne,ETI,1819
79,8588,RC Lens,LEN,64
80,10249,Montpellier Hérault SC,MON,70
81,4170,US Boulogne Cote D'Opale,BOU,111376
82,108893,AC Arles-Avignon,ARL,111989
83,8521,Stade Brestois 29,BRE,378
84,8576,AC Ajaccio,AJA,614
85,4087,Évian Thonon Gaillard FC,ETG,111271
86,9836,Dijon FCO,DIJ,110569
87,9837,Stade de Reims,REI,379
88,7794,SC Bastia,BAS,58
89,10242,ES Troyes AC,TRO,294
90,9747,En Avant de Guingamp,GUI,62
91,8550,FC Metz,MET,68
92,8121,Angers SCO,ANG,1530
93,6391,GFC Ajaccio,GAJ,110316
94,9823,FC Bayern Munich,BMU,21
