,pos_home,pos_away
59,13,2
61,5,8
63,0,15
64,6,10
98,7,11
102,14,4
449,9,12
136,13,12
137,8,7
140,9,1
143,10,4
144,14,0
151,11,3
863,15,2
174,13,2
175,0,8
198,4,7
200,15,11
201,9,1
237,14,5
238,3,10
294,14,6
296,4,15
299,2,11
302,7,1
309,10,13
334,9,3
339,5,12
349,15,7
357,14,11
372,0,5
373,12,1
387,9,3
388,6,4
401,8,13
460,12,15
484,14,9
485,5,0
487,4,13
488,6,7
537,8,11
545,3,10
556,15,5
579,13,2
580,6,4
581,8,7
582,12,3
584,11,1
609,9,10
620,0,14
669,2,7
687,8,0
688,1,13
690,9,10
691,12,4
721,3,14
723,15,6
728,10,7
749,3,2
754,6,8
759,0,5
767,15,1
801,9,14
817,12,13
872,11,12
910,7,3
914,0,1
915,14,6
917,5,8
932,2,15
940,4,13
963,11,3
969,6,1
993,12,7
1005,4,5
1008,15,10
1024,9,14
1043,2,13
1064,13,7
1076,6,0
1079,1,4
1080,9,8
1084,3,2
1146,11,12
1148,14,15
1186,4,14
1187,13,7
1189,15,12
1194,2,11
1209,10,1
1221,5,9
1505,8,3
1253,13,3
1255,8,10
1256,7,0
1257,4,5
1258,11,9
1296,1,12
1301,15,2
1341,10,6
1351,3,7
1352,0,13
1353,4,1
1355,11,5
1403,8,9
1423,12,15
1428,3,2
1437,6,8
1450,10,12
1467,11,4
1470,7,5
1475,0,15
1476,14,13
1508,15,11
1512,2,6
1518,7,12
1520,9,3
1540,13,0
1543,14,5
1546,8,10
1684,15,14
1696,9,0
1697,13,2
1715,10,5
1716,1,7
1730,4,11
1736,3,8
1754,10,1
1755,0,3
1757,4,6
1758,13,11
1795,9,14
1797,7,12
2069,5,15
1834,4,9
1844,14,0
1859,6,3
1861,10,15
1862,1,13
1868,8,11
1870,2,7
1909,7,14
1916,11,8
1918,9,5
1924,15,1
1930,0,4
1961,10,6
1967,13,2
2005,4,13
2007,5,11
2009,1,7
2011,3,8
2012,9,0
2053,2,15
2054,10,12
2076,12,5
2099,1,0
2114,13,9
2115,8,2
2122,7,4
2123,15,14
2150,11,10
2163,3,11
2179,4,15
2181,12,1
2182,6,10
2192,5,7
2205,2,0
2211,14,13
2214,8,9
2271,0,14
2281,7,10
2285,15,6
2286,2,5
2294,1,4
2340,12,13
2343,9,3
2349,3,15
2392,4,5
2393,7,1
2396,10,2
2397,6,0
2405,14,9
2411,13,12
2444,4,13
2459,15,5
2461,10,7
2462,1,3
2473,0,11
2520,12,6
2525,2,14
2536,7,10
2537,3,5
2557,13,2
2566,6,9
2572,8,0
2601,14,4
2604,12,15
2629,1,6
2683,3,10
2684,14,11
2686,0,5
2687,2,7
2699,12,9
2703,15,13
2716,7,12
2757,11,3
2759,5,9
2764,6,14
2766,10,4
2769,13,0
2785,8,15
2825,5,13
2834,0,9
2850,11,6
2851,14,3
2856,4,10
2874,1,12
2875,7,8
2915,11,12
2919,13,7
2921,10,1
2931,6,3
2937,5,2
2961,9,14
2975,8,4
3012,5,3
3024,8,9
3025,4,7
3032,2,13
3033,6,10
3034,15,1
3035,14,11
3122,5,11
3125,8,4
3140,12,6
3145,1,9
3167,7,15
3168,13,14
3169,10,0
3342,5,10
3354,6,9
3355,0,12
3356,11,3
3357,7,8
3362,1,14
3365,2,13
3370,8,7
3381,12,0
3382,9,6
3386,5,2
3390,10,4
3401,13,1
3402,14,11
3438,2,9
3439,11,12
3440,0,10
3441,3,7
3442,6,13
3443,14,4
3478,8,5
3498,9,7
3509,5,12
3510,13,0
3511,6,14
3512,11,1
3547,10,4
3549,3,8
3580,3,6
3597,5,12
3599,10,13
3600,1,9
3632,2,11
3634,14,8
3635,7,4
3708,13,1
3709,8,3
3710,5,7
3711,14,12
3712,10,9
3734,4,0
3735,11,6
3765,5,8
3793,3,7
3797,9,1
3807,0,10
3808,6,14
3812,2,12
3814,11,13
3849,13,6
3862,11,2
3864,14,4
3866,9,3
3867,8,5
3868,0,1
3871,7,12
3915,5,9
3916,7,0
3922,1,6
3923,3,11
3930,2,13
3937,12,8
3970,4,10
3983,9,2
3984,0,3
3985,6,4
